Date,Amount,GST Rate,GST Amount
2024-12-13,9.00,0.09,0.8100
2024-12-12,2.20,0.09,0.1980
2024-12-12,8.90,0.09,0.8010
2024-12-12,4.20,0.09,0.3780
2024-12-12,4.30,0.09,0.3870
2024-12-11,10.00,0.09,0.9000
2024-12-11,1.80,0.09,0.1620
2024-12-11,5.50,0.09,0.4950
2024-12-11,42.76,0.09,3.8484
2024-12-11,25.46,0.09,2.2914
2024-12-10,5.00,0.09,0.4500
2024-12-10,2.95,0.09,0.2655
2024-12-10,5.40,0.09,0.4860
2024-12-10,4.90,0.09,0.4410
2024-12-10,1.30,0.09,0.1170
2024-12-10,21.95,0.09,1.9755
2024-12-09,7.76,0.09,0.6984
2024-12-09,7.29,0.09,0.6561
2024-12-09,6.91,0.09,0.6219
2024-12-09,5.30,0.09,0.4770
2024-12-09,7.00,0.09,0.6300
2024-12-09,1.80,0.09,0.1620
2024-12-08,2.79,0.09,0.2511
2024-12-08,6.57,0.09,0.5913
2024-12-08,2.25,0.09,0.2025
2024-12-08,12.00,0.09,1.0800
2024-12-08,1.80,0.09,0.1620
2024-12-08,2.20,0.09,0.1980
2024-12-07,50.00,0.09,4.5000
2024-12-07,50.00,0.09,4.5000
2024-12-07,2.20,0.09,0.1980
2024-12-07,4.30,0.09,0.3870
2024-12-07,28.00,0.09,2.5200
2024-12-06,200.00,0.09,18.0000
2024-12-06,24.50,0.09,2.2050
2024-12-06,2.98,0.09,0.2682
2024-12-06,102.69,0.09,9.2421
2024-12-06,7.49,0.09,0.6741
2024-12-06,5.80,0.09,0.5220
2024-12-06,1.89,0.09,0.1701
2024-12-06,2.40,0.09,0.2160
2024-12-06,2.25,0.09,0.2025
2024-12-06,2.34,0.09,0.2106
2024-12-05,4.90,0.09,0.4410
2024-12-05,14.67,0.09,1.3203
2024-12-05,5.30,0.09,0.4770
2024-12-05,1.60,0.09,0.1440
2024-12-05,1.80,0.09,0.1620
2024-12-04,7.29,0.09,0.6561
2024-12-04,1.30,0.09,0.1170
2024-12-03,0.70,0.09,0.0630
