expenses list,,,,,,,,,,
Date and time,Category,Account,Amount in default currency,Default currency,Amount in account currency,Account currency,Transaction amount in transaction currency,Transaction currency,Tags,Comment
5/3/2025,Groceries,Main,2.55,SGD,2.55,SGD,,,,
5/3/2025,Groceries,Main,3.55,SGD,3.55,SGD,,,,
5/3/2025,Groceries,Main,5.55,SGD,5.55,SGD,,,,
5/3/2025,Food,Main,3.00,SGD,3.00,SGD,,,,
5/3/2025,Credit Card Bill,Main,137.00,SGD,137.00,SGD,,,,
4/3/2025,Food,Main,7.00,SGD,7.00,SGD,,,,
4/3/2025,Leisure,Main,10.00,SGD,10.00,SGD,,,,
3/3/2025,Food,Main,1.97,SGD,1.97,SGD,,,,
3/3/2025,Food,Main,2.50,SGD,2.50,SGD,,,,
3/3/2025,Food,Main,1.40,SGD,1.40,SGD,,,,
3/3/2025,Food,Main,3.30,SGD,3.30,SGD,,,,
3/3/2025,Food,Main,7.12,SGD,7.12,SGD,,,,
3/3/2025,Food,Main,5.80,SGD,5.80,SGD,,,,
2/3/2025,Food,Main,2.50,SGD,2.50,SGD,,,,
1/3/2025,Food,Main,1.50,SGD,1.50,SGD,,,,
1/3/2025,Groceries,Main,8.34,SGD,8.34,SGD,,,,
1/3/2025,Food,Main,2.70,SGD,2.70,SGD,,,,
1/3/2025,Food,Main,8.90,SGD,8.90,SGD,,,,
1/3/2025,Food,Main,1.44,SGD,1.44,SGD,,,,
1/3/2025,Food,Main,5.76,SGD,5.76,SGD,,,,
1/3/2025,Gifts,Main,200.00,SGD,200.00,SGD,,,,Danielle gift
28/2/2025,Food,Main,1.50,SGD,1.50,SGD,,,,
28/2/2025,Groceries,Main,5.60,SGD,5.60,SGD,,,,
28/2/2025,Leisure,Main,3.20,SGD,3.20,SGD,,,,
28/2/2025,Leisure,Main,29.13,SGD,29.13,SGD,,,,shopee PayLater
28/2/2025,Food,Main,4.50,SGD,4.50,SGD,,,,
28/2/2025,Food,Main,5.30,SGD,5.30,SGD,,,,
27/2/2025,Groceries,Main,14.09,SGD,14.09,SGD,,,,
27/2/2025,Leisure,Main,15.00,SGD,15.00,SGD,,,,
27/2/2025,Home,Main,650.00,SGD,650.00,SGD,,,,
27/2/2025,Food,Main,4.80,SGD,4.80,SGD,,,,
26/2/2025,Food,Main,16.00,SGD,16.00,SGD,,,,
26/2/2025,Leisure,Main,35.00,SGD,35.00,SGD,,,,
26/2/2025,Leisure,Main,5.00,SGD,5.00,SGD,,,,
26/2/2025,Food,Main,1.30,SGD,1.30,SGD,,,,
25/2/2025,Groceries,Main,7.00,SGD,7.00,SGD,,,,
24/2/2025,Leisure,Main,9.00,SGD,9.00,SGD,,,,
24/2/2025,Food,Main,6.30,SGD,6.30,SGD,,,,
24/2/2025,Food,Main,1.30,SGD,1.30,SGD,,,,
24/2/2025,Food,Main,4.00,SGD,4.00,SGD,,,,
23/2/2025,Food,Main,1.50,SGD,1.50,SGD,,,,
23/2/2025,Groceries,Main,6.00,SGD,6.00,SGD,,,,
23/2/2025,Groceries,Main,6.17,SGD,6.17,SGD,,,,
23/2/2025,Food,Main,3.00,SGD,3.00,SGD,,,,
23/2/2025,Food,Main,2.80,SGD,2.80,SGD,,,,
22/2/2025,Gifts,Main,13.00,SGD,13.00,SGD,,,,
22/2/2025,Gifts,Main,49.00,SGD,49.00,SGD,,,,mama 
22/2/2025,Home,Main,13.00,SGD,13.00,SGD,,,,
22/2/2025,Food,Main,10.00,SGD,10.00,SGD,,,,
21/2/2025,Food,Main,1.40,SGD,1.40,SGD,,,,
21/2/2025,Food,Main,1.50,SGD,1.50,SGD,,,,
21/2/2025,Food,Main,6.30,SGD,6.30,SGD,,,,
21/2/2025,Food,Main,1.30,SGD,1.30,SGD,,,,
21/2/2025,Credit Card Bill,Main,10.00,SGD,10.00,SGD,,,,
21/2/2025,Food,Main,7.00,SGD,7.00,SGD,,,,
20/2/2025,Groceries,Main,5.97,SGD,5.97,SGD,,,,
20/2/2025,Food,Main,5.80,SGD,5.80,SGD,,,,
20/2/2025,Leisure,Main,6.00,SGD,6.00,SGD,,,,shopee pay
19/2/2025,Ciggaretes,Main,15.20,SGD,15.20,SGD,,,,
19/2/2025,Credit Card Bill,Main,100.00,SGD,100.00,SGD,,,,
19/2/2025,Food,Main,1.30,SGD,1.30,SGD,,,,
19/2/2025,Food,Main,4.40,SGD,4.40,SGD,,,,
18/2/2025,Groceries,Main,11.57,SGD,11.57,SGD,,,,
18/2/2025,Food,Main,1.50,SGD,1.50,SGD,,,,
18/2/2025,Food,Main,13.50,SGD,13.50,SGD,,,,
18/2/2025,Groceries,Main,5.95,SGD,5.95,SGD,,,,
18/2/2025,Food,Main,1.30,SGD,1.30,SGD,,,,
18/2/2025,Food,Main,6.00,SGD,6.00,SGD,,,,
18/2/2025,Leisure,Main,18.50,SGD,18.50,SGD,,,,Shopee Pay
17/2/2025,Food,Main,1.40,SGD,1.40,SGD,,,,
17/2/2025,Food,Main,2.50,SGD,2.50,SGD,,,,
17/2/2025,Food,Main,6.30,SGD,6.30,SGD,,,,
17/2/2025,Food,Main,1.20,SGD,1.20,SGD,,,,
17/2/2025,Food,Main,5.30,SGD,5.30,SGD,,,,
17/2/2025,Food,Main,1.30,SGD,1.30,SGD,,,,
16/2/2025,Food,Main,1.50,SGD,1.50,SGD,,,,
16/2/2025,Food,Main,2.60,SGD,2.60,SGD,,,,
16/2/2025,Food,Main,1.00,SGD,1.00,SGD,,,,
16/2/2025,Food,Main,1.80,SGD,1.80,SGD,,,,
15/2/2025,Food,Main,5.20,SGD,5.20,SGD,,,,
15/2/2025,Groceries,Main,4.00,SGD,4.00,SGD,,,,
15/2/2025,Food,Main,1.50,SGD,1.50,SGD,,,,
15/2/2025,Groceries,Main,11.10,SGD,11.10,SGD,,,,
15/2/2025,Food,Main,2.70,SGD,2.70,SGD,,,,
14/2/2025,Leisure,Main,15.69,SGD,15.69,SGD,,,,
14/2/2025,Credit Card Bill,Main,13.00,SGD,13.00,SGD,,,,
14/2/2025,Credit Card Bill,Main,120.00,SGD,120.00,SGD,,,,
14/2/2025,Food,Main,2.00,SGD,2.00,SGD,,,,
14/2/2025,Food,Main,2.30,SGD,2.30,SGD,,,,
14/2/2025,Leisure,Main,8.00,SGD,8.00,SGD,,,,V Day
14/2/2025,Groceries,Main,7.10,SGD,7.10,SGD,,,,
14/2/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
14/2/2025,Food,Main,5.30,SGD,5.30,SGD,,,,
13/2/2025,Food,Main,5.80,SGD,5.80,SGD,,,,
13/2/2025,Food,Main,3.00,SGD,3.00,SGD,,,,
12/2/2025,Food,Main,10.40,SGD,10.40,SGD,,,,
11/2/2025,Food,Main,6.00,SGD,6.00,SGD,,,,
10/2/2025,Groceries,Main,3.30,SGD,3.30,SGD,,,,
10/2/2025,Food,Main,1.40,SGD,1.40,SGD,,,,
10/2/2025,Food,Main,1.60,SGD,1.60,SGD,,,,
10/2/2025,Food,Main,6.90,SGD,6.90,SGD,,,,
10/2/2025,Food,Main,5.00,SGD,5.00,SGD,,,,
10/2/2025,Health,Main,21.95,SGD,21.95,SGD,,,,Fwd insurance
9/2/2025,Leisure,Main,8.90,SGD,8.90,SGD,,,,
9/2/2025,Groceries,Main,2.00,SGD,2.00,SGD,,,,
9/2/2025,Groceries,Main,16.45,SGD,16.45,SGD,,,,
9/2/2025,Food,Main,5.00,SGD,5.00,SGD,,,,
9/2/2025,Food,Main,7.00,SGD,7.00,SGD,,,,
9/2/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
9/2/2025,Leisure,Main,5.90,SGD,5.90,SGD,,,,Coffee Beans
9/2/2025,Leisure,Main,25.46,SGD,25.46,SGD,,,,Mobile Plan
8/2/2025,Food,Main,20.00,SGD,20.00,SGD,,,,
8/2/2025,Food,Main,4.40,SGD,4.40,SGD,,,,
8/2/2025,Groceries,Main,9.35,SGD,9.35,SGD,,,,
8/2/2025,Leisure,Main,3.85,SGD,3.85,SGD,,,,
7/2/2025,Leisure,Main,8.90,SGD,8.90,SGD,,,,
7/2/2025,Food,Main,12.50,SGD,12.50,SGD,,,,
7/2/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
7/2/2025,Groceries,Main,17.35,SGD,17.35,SGD,,,,
7/2/2025,Health,Main,49.05,SGD,49.05,SGD,,,,Anxiety Meds
6/2/2025,Tax,Main,42.90,SGD,42.90,SGD,,,,
6/2/2025,Food,Main,1.00,SGD,1.00,SGD,,,,
6/2/2025,Leisure,Main,10.00,SGD,10.00,SGD,,,,
6/2/2025,Leisure,Main,10.00,SGD,10.00,SGD,,,,
6/2/2025,Food,Main,5.30,SGD,5.30,SGD,,,,
6/2/2025,Workout,Main,102.60,SGD,102.60,SGD,,,,
5/2/2025,Groceries,Main,8.55,SGD,8.55,SGD,,,,
5/2/2025,Food,Main,4.90,SGD,4.90,SGD,,,,
4/2/2025,Groceries,Main,4.51,SGD,4.51,SGD,,,,
